,流水號,國字,審定音,詞例,限讀說明,通假說明,備注
2,0255,厘,1.ㄌ｜ˊ\n2.ㄔㄢˊ,1.「釐」的異\n體字\n2.「廛」的異\n體字,,,
3,0256,原,ㄩㄢˊ,原因、原諒、\n平原、原著、\n原住民,,通「愿」時，\n音ㄩㄢˋ。,
4,*0257,厜,ㄔㄨㄟˊ,,,,
5,0258,厭,1.｜ㄢˋ\n2.｜ㄢ\n(限讀),1.貪得無\n厭、討厭、\n會厭軟骨,2.限於「厭\n厭」一詞音\n｜ㄢ。,,
6,0259,厲,ㄌ｜ˋ,厲鬼、厲害、\n雷厲風行、\n「子溫而\n厲。」（論\n語‧述而）,,通「癩」時，\n音ㄌㄞˋ。,
7,0260,厹,1.ㄖㄡˊ\n2.ㄑ｜ㄡˊ,1.「禸」的異\n體字\n2.厹矛、厹由\n（古國名）,,,
8,*0261,去,ㄑㄩˋ,,,,
0,0262,參,1.ㄘㄢ\n2.ㄕㄣ\n3.ㄘㄣ,1.參議員、參\n觀、參加、\n曹參（人\n名。漢時宰\n相）\n2.人參、動如\n參商、曾參\n（即曾\n子）、海參\n崴（港名。\n在西伯利亞\n東南）\n3.參差,,通「三」時，\n音ㄙㄢ。,
1,0263,叉,ㄔㄚ,,,,
2,0264,反,ㄈㄢˇ,,,,
3,*0265,取,ㄑㄩˇ,,,,
4,0266,叟,ㄙㄡˇ,,,,
5,0267,叢,ㄘㄨㄥˊ,,,,
6,*0268,司,ㄙ,,,,
7,0269,可,1.ㄎㄜˇ\n2.ㄎㄜˋ,1.可口、可\n是、可愛、\n「你可回來\n了！」\n2.可汗,,,
8,0270,召,1.ㄓㄠˋ\n2.ㄕㄠˋ,1.召喚、召禍\n2.召陵（古地\n名）、召南\n（詩經十五\n國風之\n一）、姓（如\n漢代有召信\n臣）,,,
0,0271,叨,1.ㄊㄠ\n2.ㄉㄠ,1.叨光、叨陪\n末座、叨擾\n2.嘮叨、叨\n登、叨念,,,
1,0272,只,ㄓˇ,只好、只此一\n家,,通「隻」時，\n音ㄓ。,
2,0273,台,1.ㄊㄞˊ\n2.｜ˊ,1.台端、台州\n（浙江省舊\n府名）\n2.「諸呂不\n台。」（史\n記‧太史公\n自序）,,,
